127.0.0.1 - - [27/Dec/2022:11:19:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:19:27 +0530] "GET /Bookify/index.jsp HTTP/1.1" 200 2181
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:19:53 +0530] "GET /Bookify/login.jsp HTTP/1.1" 200 2455
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:19:53 +0530] "GET /Bookify/registration.css HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:19:53 +0530] "GET /Bookify/img/boook.avif HTTP/1.1" 200 106337
192.168.137.173 - - [27/Dec/2022:11:20:58 +0530] "GET /Bookify HTTP/1.1" 302 -
192.168.137.173 - - [27/Dec/2022:11:20:58 +0530] "GET /Bookify/ HTTP/1.1" 200 2181
192.168.137.173 - - [27/Dec/2022:11:21:08 +0530] "GET /Bookify/registration.jsp HTTP/1.1" 200 2880
192.168.137.173 - - [27/Dec/2022:11:21:08 +0530] "GET /Bookify/registration.css HTTP/1.1" 200 953
192.168.137.173 - - [27/Dec/2022:11:21:08 +0530] "GET /Bookify/img/boook.avif HTTP/1.1" 200 106337
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:29:55 +0530] "GET /Bookify/login.jsp HTTP/1.1" 200 2455
192.168.43.170 - - [27/Dec/2022:11:32:54 +0530] "GET /Bookify HTTP/1.1" 302 -
192.168.43.170 - - [27/Dec/2022:11:32:56 +0530] "GET /Bookify/ HTTP/1.1" 200 2181
192.168.43.170 - - [27/Dec/2022:11:34:56 +0530] "GET /Bookify/login.jsp HTTP/1.1" 200 2455
192.168.43.170 - - [27/Dec/2022:11:34:56 +0530] "GET /Bookify/registration.css HTTP/1.1" 200 953
192.168.43.170 - - [27/Dec/2022:11:34:56 +0530] "GET /Bookify/img/boook.avif HTTP/1.1" 200 106337
192.168.43.170 - - [27/Dec/2022:11:35:00 +0530] "GET /Bookify/registration.jsp HTTP/1.1" 200 2880
192.168.43.112 - - [27/Dec/2022:11:35:17 +0530] "GET /Bookify/ HTTP/1.1" 200 2181
192.168.43.170 - - [27/Dec/2022:11:35:26 +0530] "POST /Bookify/formProcess.jsp HTTP/1.1" 302 -
192.168.43.170 - - [27/Dec/2022:11:35:26 +0530] "GET /Bookify/login.jsp?un=PriyankVaghela HTTP/1.1" 200 2525
192.168.43.170 - - [27/Dec/2022:11:35:31 +0530] "POST /Bookify/formProcess.jsp HTTP/1.1" 302 -
192.168.43.170 - - [27/Dec/2022:11:35:31 +0530] "GET /Bookify/home.jsp HTTP/1.1" 200 12511
192.168.43.170 - - [27/Dec/2022:11:35:31 +0530] "GET /Bookify/home.css HTTP/1.1" 200 785
192.168.43.170 - - [27/Dec/2022:11:35:31 +0530] "GET /Bookify/img/symbol1.webp HTTP/1.1" 200 992
192.168.43.170 - - [27/Dec/2022:11:35:32 +0530] "GET /favicon.ico HTTP/1.1" 404 762
192.168.43.170 - - [27/Dec/2022:11:35:37 +0530] "GET /Bookify/addInsight.jsp HTTP/1.1" 200 7781
192.168.43.170 - - [27/Dec/2022:11:39:21 +0530] "POST /Bookify/processInsight.jsp?addBook=1 HTTP/1.1" 302 -
192.168.43.170 - - [27/Dec/2022:11:39:21 +0530] "GET /Bookify/addInsight.jsp HTTP/1.1" 200 7781
192.168.43.112 - - [27/Dec/2022:11:40:38 +0530] "GET /Bookify/login.jsp HTTP/1.1" 200 2455
192.168.43.112 - - [27/Dec/2022:11:40:38 +0530] "GET /Bookify/registration.css HTTP/1.1" 200 953
192.168.43.112 - - [27/Dec/2022:11:40:38 +0530] "GET /Bookify/img/boook.avif HTTP/1.1" 200 106337
192.168.43.112 - - [27/Dec/2022:11:40:48 +0530] "POST /Bookify/formProcess.jsp HTTP/1.1" 302 -
192.168.43.112 - - [27/Dec/2022:11:40:48 +0530] "GET /Bookify/home.jsp HTTP/1.1" 200 12508
